Make,Model,Type,Origin,DriveTrain,Length
BMW,325xi 4dr,Sedan,Europe,All,3461
BMW,330i 4dr,Sedan,Europe,Rear,3285
BMW,330Ci 2dr,Sedan,Europe,Rear,3285
BMW,330xi 4dr,Sedan,Europe,All,3483
BMW,525i 4dr,Sedan,Europe,Rear,3428
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,3616
BMW,530i 4dr,Sedan,Europe,Rear,3472
BMW,545iA 4dr,Sedan,Europe,Rear,3814
BMW,745i 4dr,Sedan,Europe,Rear,4376
BMW,745Li 4dr,Sedan,Europe,Rear,4464
BMW,M3 coupe 2dr,Sports,Europe,Rear,3415
BMW,M3 convertible 2dr,Sports,Europe,Rear,3781
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,2932
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,2998
BMW,325xi Sport,Wagon,Europe,All,3594
Buick,Rainier,SUV,USA,All,4600
Buick,Rendezvous CX,SUV,USA,Front,4024
Buick,Century Custom 4dr,Sedan,USA,Front,3353
Buick,LeSabre Custom 4dr,Sedan,USA,Front,3567
Buick,Regal LS 4dr,Sedan,USA,Front,3461
Buick,Regal GS 4dr,Sedan,USA,Front,3536
Buick,LeSabre Limited 4dr,Sedan,USA,Front,3591
Buick,Park Avenue 4dr,Sedan,USA,Front,3778
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,3909
Cadillac,Escalade,SUV,USA,Front,5367
Cadillac,SRX V8,SUV,USA,Front,4302
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,3694
Cadillac,Deville 4dr,Sedan,USA,Front,3984
Cadillac,Deville DTS 4dr,Sedan,USA,Front,4044
Cadillac,Seville SLS 4dr,Sedan,USA,Front,3992
Cadillac,XLR convertible 2dr,Sports,USA,Rear,3647
Cadillac,Escalade EXT,Truck,USA,All,5879
Chevrolet,Suburban 1500 LT,SUV,USA,Front,4947
Chevrolet,Tahoe LT,SUV,USA,All,5050
Chevrolet,TrailBlazer LT,SUV,USA,Front,4425
Chevrolet,Tracker,SUV,USA,Front,2866
Chevrolet,Aveo 4dr,Sedan,USA,Front,2370
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,2348
Chevrolet,Cavalier 2dr,Sedan,USA,Front,2617
Chevrolet,Cavalier 4dr,Sedan,USA,Front,2676
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,2617
Chevrolet,Impala 4dr,Sedan,USA,Front,3465
Chevrolet,Malibu 4dr,Sedan,USA,Front,3174
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,3297
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,3340
Chevrolet,Impala LS 4dr,Sedan,USA,Front,3476
Chevrolet,Impala SS 4dr,Sedan,USA,Front,3606
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,3315
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,3434
Chevrolet,Astro,Sedan,USA,All,4605
Chevrolet,Venture LS,Sedan,USA,Front,3699
Chevrolet,Corvette 2dr,Sports,USA,Rear,3246
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,3248
Chevrolet,Avalanche 1500,Truck,USA,All,5678
Chevrolet,Colorado Z85,Truck,USA,All,3623
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,4142
Chevrolet,Silverado SS,Truck,USA,All,4804
Chevrolet,SSR,Truck,USA,Rear,4760
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,3458
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,3101
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,3105
Chrysler,Sebring 4dr,Sedan,USA,Front,3173
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,3222
Chrysler,300M 4dr,Sedan,USA,Front,3581
Chrysler,Concorde LX 4dr,Sedan,USA,Front,3479
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,3548
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,3217
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,3357
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,3650
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,3448
Chrysler,Town and Country LX,Sedan,USA,Front,4068
Chrysler,Town and Country Limited,Sedan,USA,Front,4331
Chrysler,Crossfire 2dr,Sports,USA,Rear,3060
Chrysler,Pacifica,Wagon,USA,Rear,4675
Dodge,Durango SLT,SUV,USA,All,4987
Dodge,Neon SE 4dr,Sedan,USA,Front,2581
Dodge,Neon SXT 4dr,Sedan,USA,Front,2626
Dodge,Intrepid SE 4dr,Sedan,USA,Front,3469
Dodge,Stratus SXT 4dr,Sedan,USA,Front,3182
Dodge,Stratus SE 4dr,Sedan,USA,Front,3175
Dodge,Intrepid ES 4dr,Sedan,USA,Front,3487
Dodge,Caravan SE,Sedan,USA,Front,3862
Dodge,Grand Caravan SXT,Sedan,USA,All,4440
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,3410
Dodge,Dakota Regular Cab,Truck,USA,Rear,3714
Dodge,Dakota Club Cab,Truck,USA,Rear,3829
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,4542
Ford,Excursion 6.8 XLT,SUV,USA,All,7190
Ford,Expedition 4.6 XLT,SUV,USA,Front,5000
Ford,Explorer XLT V6,SUV,USA,All,4463
Ford,Escape XLS,SUV,USA,All,3346
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,2612
Ford,Focus LX 4dr,Sedan,USA,Front,2606
Ford,Focus SE 4dr,Sedan,USA,Front,2606
Ford,Focus ZX5 5dr,Sedan,USA,Front,2691
Ford,Focus SVT 2dr,Sedan,USA,Front,2750
Ford,Taurus LX 4dr,Sedan,USA,Front,3306
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,3313
Ford,Crown Victoria 4dr,Sedan,USA,Rear,4057
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,4057
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,4057
Ford,Freestar SE,Sedan,USA,Front,4275
Ford,Mustang 2dr (convertible),Sports,USA,Rear,3290
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,3347
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,3780
Ford,F-150 Regular Cab XL,Truck,USA,Rear,4788
Ford,F-150 Supercab Lariat,Truck,USA,All,5464
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,3028
Ford,Focus ZTW,Wagon,USA,Front,2702
Ford,Taurus SE,Wagon,USA,Front,3497
GMC,Envoy XUV SLE,SUV,USA,Front,4945
GMC,Yukon 1500 SLE,SUV,USA,Front,5042
GMC,Yukon XL 2500 SLT,SUV,USA,All,6133
GMC,Safari SLE,Sedan,USA,Rear,4309
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,3351
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,4548
GMC,Sierra HD 2500,Truck,USA,All,5440
GMC,Sonoma Crew Cab,Truck,USA,All,4083
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,2732
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,1850
Honda,Pilot LX,SUV,Asia,All,4387
Honda,CR-V LX,SUV,Asia,All,3258
Honda,Element LX,SUV,Asia,All,3468
Honda,Civic DX 2dr,Sedan,Asia,Front,2432
Honda,Civic HX 2dr,Sedan,Asia,Front,2500
Honda,Civic LX 4dr,Sedan,Asia,Front,2513
Honda,Accord LX 2dr,Sedan,Asia,Front,2994
Honda,Accord EX 2dr,Sedan,Asia,Front,3047
Honda,Civic EX 4dr,Sedan,Asia,Front,2601
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,2782
Honda,Accord LX V6 4dr,Sedan,Asia,Front,3349
Honda,Accord EX V6 2dr,Sedan,Asia,Front,3294
Honda,Odyssey LX,Sedan,Asia,Front,4310
Honda,Odyssey EX,Sedan,Asia,Front,4365
Honda,S2000 convertible 2dr,Sports,Asia,Rear,2835
Hummer,H2,SUV,USA,All,6400
Hyundai,Santa Fe GLS,SUV,Asia,Front,3549
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,2255
Hyundai,Accent GL 4dr,Sedan,Asia,Front,2290
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,2339
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,2635
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,2635
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,2698
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,3217
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,3217
Hyundai,XG350 4dr,Sedan,Asia,Front,3651
Hyundai,XG350 L 4dr,Sedan,Asia,Front,3651
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,3023
Infiniti,G35 4dr,Sedan,Asia,Rear,3336
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,3416
Infiniti,G35 4dr,Sedan,Asia,All,3677
Infiniti,I35 4dr,Sedan,Asia,Front,3306
Infiniti,M45 4dr,Sedan,Asia,Rear,3851
Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,3977
Infiniti,FX35,Wagon,Asia,Rear,4056
Infiniti,FX45,Wagon,Asia,All,4309
Isuzu,Ascender S,SUV,Asia,All,4967
Isuzu,Rodeo S,SUV,Asia,Front,3836
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,3428
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,3516
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,3777
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,3874
Jaguar,S-Type R 4dr,Sedan,Europe,Rear,4046
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,3803
Jaguar,XJ8 4dr,Sedan,Europe,Rear,3803
Jaguar,XJR 4dr,Sedan,Europe,Rear,3948
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,3779
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,3980
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,3865
Jaguar,XKR convertible 2dr,Sports,Europe,Rear,4042
Jeep,Grand Cherokee Laredo,SUV,USA,Front,3790
Jeep,Liberty Sport,SUV,USA,All,3826
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,3575
Kia,Sorento LX,SUV,Asia,Front,4112
Kia,Optima LX 4dr,Sedan,Asia,Front,3281
Kia,Rio 4dr manual,Sedan,Asia,Front,2403
Kia,Rio 4dr auto,Sedan,Asia,Front,2458
Kia,Spectra 4dr,Sedan,Asia,Front,2661
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,2686
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,2697
Kia,Optima LX V6 4dr,Sedan,Asia,Front,3279
Kia,Amanti 4dr,Sedan,Asia,Front,4021
Kia,Sedona LX,Sedan,Asia,Front,4802
Kia,Rio Cinco,Wagon,Asia,Front,2447
Land Rover,Range Rover HSE,SUV,Europe,All,5379
Land Rover,Discovery SE,SUV,Europe,All,4576
Land Rover,Freelander SE,SUV,Europe,All,3577
Lexus,GX 470,SUV,Asia,All,4740
Lexus,LX 470,SUV,Asia,All,5590
Lexus,RX 330,SUV,Asia,All,4065
Lexus,ES 330 4dr,Sedan,Asia,Front,3460
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,3255
Lexus,IS 300 4dr auto,Sedan,Asia,Rear,3285
Lexus,GS 300 4dr,Sedan,Asia,Rear,3649
Lexus,GS 430 4dr,Sedan,Asia,Rear,3715
Lexus,LS 430 4dr,Sedan,Asia,Rear,3990
Lexus,SC 430 convertible 2dr,Sports,Asia,Rear,3840
Lexus,IS 300 SportCross,Wagon,Asia,Rear,3410
Lincoln,Navigator Luxury,SUV,USA,All,5969
Lincoln,Aviator Ultimate,SUV,USA,Front,4834
Lincoln,LS V6 Luxury 4dr,Sedan,USA,Rear,3681
Lincoln,LS V6 Premium 4dr,Sedan,USA,Rear,3681
Lincoln,LS V8 Sport 4dr,Sedan,USA,Rear,3768
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,Rear,3768
Lincoln,Town Car Signature 4dr,Sedan,USA,Rear,4369
Lincoln,Town Car Ultimate 4dr,Sedan,USA,Rear,4369
Lincoln,Town Car Ultimate L 4dr,Sedan,USA,Rear,4474
MINI,Cooper,Sedan,Europe,Front,2524
MINI,Cooper S,Sedan,Europe,Front,2678
Mazda,Tribute DX 2.0,SUV,Asia,All,3091
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,2696
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,2762
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,3042
Mazda,MPV ES,Sedan,Asia,Front,3812
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,2387
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,2387
Mazda,RX-8 4dr automatic,Sports,Asia,Rear,3053
Mazda,RX-8 4dr manual,Sports,Asia,Rear,3029
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,2960
Mazda,B4000 SE Cab Plus,Truck,Asia,All,3571
Mercedes-Benz,G500,SUV,Europe,All,5423
Mercedes-Benz,ML500,SUV,Europe,All,4874
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,3250
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,3430
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,3360
Mercedes-Benz,C240 4dr,Sedan,Europe,All,3360
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,3430
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,3450
Mercedes-Benz,C320 4dr,Sedan,Europe,All,3450
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,Rear,3540
Mercedes-Benz,CL500 2dr,Sedan,Europe,Rear,4085
Mercedes-Benz,CL600 2dr,Sedan,Europe,Rear,4473
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,3770
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,Rear,3585
Mercedes-Benz,E320 4dr,Sedan,Europe,Rear,3635
Mercedes-Benz,E500 4dr,Sedan,Europe,Rear,3815
Mercedes-Benz,S430 4dr,Sedan,Europe,Rear,4160
Mercedes-Benz,S500 4dr,Sedan,Europe,All,4390
Mercedes-Benz,SL500 convertible 2dr,Sports,Europe,Rear,4065
Mercedes-Benz,SL55 AMG 2dr,Sports,Europe,Rear,4235
Mercedes-Benz,SL600 convertible 2dr,Sports,Europe,Rear,4429
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,Rear,3055
Mercedes-Benz,SLK32 AMG 2dr,Sports,Europe,Rear,3220
Mercedes-Benz,C240,Wagon,Europe,Rear,3470
Mercedes-Benz,E320,Wagon,Europe,Rear,3966
Mercedes-Benz,E500,Wagon,Europe,All,4230
Mercury,Mountaineer,SUV,USA,Front,4374
Mercury,Sable GS 4dr,Sedan,USA,Front,3308
Mercury,Grand Marquis GS 4dr,Sedan,USA,Rear,4052
Mercury,Grand Marquis LS Premium 4dr,Sedan,USA,Rear,4052
Mercury,Sable LS Premium 4dr,Sedan,USA,Front,3315
Mercury,Grand Marquis LS Ultimate 4dr,Sedan,USA,Rear,4052
Mercury,Marauder 4dr,Sedan,USA,Rear,4195
Mercury,Monterey Luxury,Sedan,USA,Front,4340
Mercury,Sable GS,Wagon,USA,Front,3488
Mitsubishi,Endeavor XLS,SUV,Asia,All,4134
Mitsubishi,Montero XLS,SUV,Asia,All,4718
Mitsubishi,Outlander LS,SUV,Asia,Front,3240
Mitsubishi,Lancer ES 4dr,Sedan,Asia,Front,2656
Mitsubishi,Lancer LS 4dr,Sedan,Asia,Front,2795
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,Front,3351
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,Front,2744
Mitsubishi,Diamante LS 4dr,Sedan,Asia,Front,3549
Mitsubishi,Galant GTS 4dr,Sedan,Asia,Front,3649
Mitsubishi,Eclipse GTS 2dr,Sports,Asia,Front,3241
Mitsubishi,Eclipse Spyder GT convertible 2dr,Sports,Asia,Front,3296
Mitsubishi,Lancer Evolution 4dr,Sports,Asia,Front,3263
Mitsubishi,Lancer Sportback LS,Wagon,Asia,Front,3020
Nissan,Pathfinder Armada SE,SUV,Asia,Front,5013
Nissan,Pathfinder SE,SUV,Asia,Front,3871
Nissan,Xterra XE V6,SUV,Asia,Front,3760
Nissan,Sentra 1.8 4dr,Sedan,Asia,Front,2513
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,Front,2581
Nissan,Altima S 4dr,Sedan,Asia,Front,3039
Nissan,Sentra SE-R 4dr,Sedan,Asia,Front,2761
Nissan,Altima SE 4dr,Sedan,Asia,Front,3197
Nissan,Maxima SE 4dr,Sedan,Asia,Front,3473
Nissan,Maxima SL 4dr,Sedan,Asia,Front,3476
Nissan,Quest S,Sedan,Asia,Front,4012
Nissan,Quest SE,Sedan,Asia,Front,4175
Nissan,350Z coupe 2dr,Sports,Asia,Rear,3188
Nissan,350Z Enthusiast convertible 2dr,Sports,Asia,Rear,3428
Nissan,Frontier King Cab XE V6,Truck,Asia,All,3932
Nissan,Titan King Cab XE,Truck,Asia,All,5287
Nissan,Murano SL,Wagon,Asia,Rear,3801
Oldsmobile,Alero GX 2dr,Sedan,USA,Front,2946
Oldsmobile,Alero GLS 2dr,Sedan,USA,Front,3085
Oldsmobile,Silhouette GL,Sedan,USA,Front,3948
Pontiac,Aztekt,SUV,USA,Front,3779
Pontiac,Sunfire 1SA 2dr,Sedan,USA,Front,2771
Pontiac,Grand Am GT 2dr,Sedan,USA,Front,3118
Pontiac,Grand Prix GT1 4dr,Sedan,USA,Front,3477
Pontiac,Sunfire 1SC 2dr,Sedan,USA,Front,2771
Pontiac,Grand Prix GT2 4dr,Sedan,USA,Front,3484
Pontiac,Bonneville GXP 4dr,Sedan,USA,Front,3790
Pontiac,Montana,Sedan,USA,Front,3803
Pontiac,Montana EWB,Sedan,USA,All,4431
Pontiac,GTO 2dr,Sports,USA,Rear,3725
Pontiac,Vibe,Wagon,USA,Rear,2701
Porsche,Cayenne S,SUV,Europe,All,4950
Porsche,911 Carrera convertible 2dr (coupe),Sports,Europe,Rear,3135
Porsche,911 Carrera 4S coupe 2dr (convert),Sports,Europe,All,3240
Porsche,911 Targa coupe 2dr,Sports,Europe,Rear,3119
Porsche,911 GT2 2dr,Sports,Europe,Rear,3131
Porsche,Boxster convertible 2dr,Sports,Europe,Rear,2811
Porsche,Boxster S convertible 2dr,Sports,Europe,Rear,2911
Saab,9-3 Arc Sport 4dr,Sedan,Europe,Front,3175
Saab,9-3 Aero 4dr,Sedan,Europe,Front,3175
Saab,9-5 Arc 4dr,Sedan,Europe,Front,3470
Saab,9-5 Aero 4dr,Sedan,Europe,Front,3470
Saab,9-3 Arc convertible 2dr,Sedan,Europe,Front,3480
Saab,9-3 Aero convertible 2dr,Sedan,Europe,Front,3700
Saab,9-5 Aero,Wagon,Europe,Front,3620
Saturn,VUE,SUV,USA,All,3381
Saturn,Ion1 4dr,Sedan,USA,Front,2692
Saturn,lon2 4dr,Sedan,USA,Front,2692
Saturn,lon3 4dr,Sedan,USA,Front,2692
Saturn,lon2 quad coupe 2dr,Sedan,USA,Front,2751
Saturn,lon3 quad coupe 2dr,Sedan,USA,Front,2751
Saturn,L300-2 4dr,Sedan,USA,Front,3197
Saturn,L300 2,Wagon,USA,Front,3109
Scion,xA 4dr hatch,Sedan,Asia,Front,2340
Scion,xB,Wagon,Asia,Front,2425
Subaru,Impreza 2.5 RS 4dr,Sedan,Asia,All,2965
Subaru,Legacy L 4dr,Sedan,Asia,All,3285
Subaru,Legacy GT 4dr,Sedan,Asia,All,3395
Subaru,Outback Limited Sedan 4dr,Sedan,Asia,All,3495
Subaru,Outback H6 4dr,Sedan,Asia,All,3610
Subaru,Outback H-6 VDC 4dr,Sedan,Asia,All,3630
Subaru,Impreza WRX 4dr,Sports,Asia,All,3085
Subaru,Impreza WRX STi 4dr,Sports,Asia,All,3263
Subaru,Baja,Truck,Asia,All,3485
Subaru,Forester X,Wagon,Asia,All,3090
Subaru,Outback,Wagon,Asia,All,3430
Suzuki,XL-7 EX,SUV,Asia,Front,3682
Suzuki,Vitara LX,SUV,Asia,All,3020
Suzuki,Aeno S 4dr,Sedan,Asia,Front,2676
Suzuki,Aerio LX 4dr,Sedan,Asia,Front,2676
Suzuki,Forenza S 4dr,Sedan,Asia,Front,2701
Suzuki,Forenza EX 4dr,Sedan,Asia,Front,2756
Suzuki,Verona LX 4dr,Sedan,Asia,Front,3380
Suzuki,Aerio SX,Wagon,Asia,All,2932
Toyota,Prius 4dr (gas/electric),Hybrid,Asia,Front,2890
Toyota,Sequoia SR5,SUV,Asia,All,5270
Toyota,4Runner SR5 V6,SUV,Asia,Front,4035
Toyota,Highlander V6,SUV,Asia,All,3935
Toyota,Land Cruiser,SUV,Asia,All,5390
Toyota,RAV4,SUV,Asia,All,3119
Toyota,Corolla CE 4dr,Sedan,Asia,Front,2502
Toyota,Corolla S 4dr,Sedan,Asia,Front,2524
Toyota,Corolla LE 4dr,Sedan,Asia,Front,2524
Toyota,Echo 2dr manual,Sedan,Asia,Front,2035
Toyota,Echo 2dr auto,Sedan,Asia,Front,2085
Toyota,Echo 4dr,Sedan,Asia,Front,2055
Toyota,Camry LE 4dr,Sedan,Asia,Front,3086
Toyota,Camry LE V6 4dr,Sedan,Asia,Front,3296
Toyota,Camry Solara SE 2dr,Sedan,Asia,Front,3175
Toyota,Camry Solara SE V6 2dr,Sedan,Asia,Front,3417
Toyota,Avalon XL 4dr,Sedan,Asia,Front,3417
Toyota,Camry XLE V6 4dr,Sedan,Asia,Front,3362
Toyota,Camry Solara SLE V6 2dr,Sedan,Asia,Front,3439
Toyota,Avalon XLS 4dr,Sedan,Asia,Front,3439
Toyota,Sienna CE,Sedan,Asia,Front,4120
Toyota,Sienna XLE Limited,Sedan,Asia,Front,4165
Toyota,Celica GT-S 2dr,Sports,Asia,Front,2500
Toyota,MR2 Spyder convertible 2dr,Sports,Asia,Rear,2195
Toyota,Tacoma,Truck,Asia,Rear,2750
Toyota,Tundra Regular Cab V6,Truck,Asia,Rear,3925
Toyota,Tundra Access Cab V6 SR5,Truck,Asia,All,4435
Toyota,Matrix XR,Wagon,Asia,Front,2679
Volkswagen,Touareg V6,SUV,Europe,All,5086
Volkswagen,Golf GLS 4dr,Sedan,Europe,Front,2897
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,Front,2934
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,Front,3003
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front,2820
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,Front,3179
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,Front,3082
Volkswagen,Passat GLS 4dr,Sedan,Europe,Front,3241
Volkswagen,Passat GLX V6 4MOTION 4dr,Sedan,Europe,Front,3721
Volkswagen,Passat W8 4MOTION 4dr,Sedan,Europe,Front,3953
Volkswagen,Phaeton 4dr,Sedan,Europe,Front,5194
Volkswagen,Phaeton W12 4dr,Sedan,Europe,Front,5399
Volkswagen,Jetta GL,Wagon,Europe,Front,3034
Volkswagen,Passat GLS 1.8T,Wagon,Europe,Front,3338
Volkswagen,Passat W8,Wagon,Europe,Front,4067
Volvo,XC90 T6,SUV,Europe,All,4638
Volvo,S40 4dr,Sedan,Europe,Front,2767
Volvo,S60 2.5 4dr,Sedan,Europe,All,3903
Volvo,S60 T5 4dr,Sedan,Europe,Front,3766
Volvo,S60 R 4dr,Sedan,Europe,All,3571
Volvo,S80 2.9 4dr,Sedan,Europe,Front,3576
Volvo,S80 2.5T 4dr,Sedan,Europe,All,3691
Volvo,C70 LPT convertible 2dr,Sedan,Europe,Front,3450
Volvo,C70 HPT convertible 2dr,Sedan,Europe,Front,3450
Volvo,S80 T6 4dr,Sedan,Europe,Front,3653
Volvo,V40,Wagon,Europe,Front,2822
Volvo,XC70,Wagon,Europe,All,3823
